Function,Method,RMSE,Boundary RMSE
Boundary change,B-spline,0.051439645615398114,0.06687905069197692
Boundary change,Local linear,0.05416996658534008,0.07673845098251322
Boundary change,Nadaraya-Watson,0.06585038831200954,0.10912995024549582
Boundary change,Smoothing spline,0.09443652372739658,0.13768242880768305
Local spike,B-spline,0.04834761540101534,0.058705717625514825
Local spike,Local linear,0.07953571438245927,0.048610291554275674
Local spike,Nadaraya-Watson,0.09191407866039823,0.08762422711158031
Local spike,Smoothing spline,0.3835602302404867,0.1531748122550681
Smooth periodic,B-spline,0.038458692104749614,0.052441406420189275
Smooth periodic,Local linear,0.0443821964401171,0.05066447769958594
Smooth periodic,Nadaraya-Watson,0.057570366464197616,0.09231940351060369
Smooth periodic,Smoothing spline,0.07312015007352426,0.09798373940638103
