Function,Method,ISE,RMSE,Boundary RMSE,Time
Boundary change,Local quadratic,0.0023534724645372976,0.04763786233547929,0.05847860195344296,0.003914116999994804
Boundary change,B-spline,0.002736904157964728,0.051439645615398114,0.06687905069197692,0.0008193720000872418
Boundary change,Local linear,0.003028844874508179,0.05416996658534008,0.07673845098251322,0.0036509720000412926
Boundary change,Nadaraya-Watson,0.004411801539646843,0.06585038831200954,0.10912995024549582,0.00021530200007873645
Boundary change,Smoothing spline,0.009748817877566452,0.09443652372739658,0.13768242880768305,0.00015089199996509706
Boundary change,Polynomial,0.031275932898184575,0.17679621445794136,0.2923985945037395,0.0006706724999821745
Boundary change,Linear,0.07556468063580862,0.2748833164812084,0.3512017252380897,0.00038579350001782586
Local spike,B-spline,0.002461806281797671,0.04834761540101534,0.058705717625514825,0.000830824000058783
Local spike,Local quadratic,0.002961497836831411,0.05345229256371345,0.05797569781581942,0.003943378000030862
Local spike,Local linear,0.006432578007039169,0.07953571438245927,0.048610291554275674,0.00367293499995867
Local spike,Nadaraya-Watson,0.008674147440228213,0.09191407866039823,0.08762422711158031,0.00021999750003487862
Local spike,Smoothing spline,0.14745899232093046,0.3835602302404867,0.1531748122550681,0.0001036404999831575
Local spike,Polynomial,0.2454282663352394,0.49539574824105487,0.3104540570525046,0.0006694195000636682
Local spike,Linear,0.5789745729949343,0.7608973570104177,0.7207705178638014,0.00038612699995610456
Smooth periodic,Local quadratic,0.001462172812970484,0.03708039549054069,0.048079933255559905,0.003956888500024434
Smooth periodic,B-spline,0.0016081294028286114,0.038458692104749614,0.052441406420189275,0.0008169554999858519
Smooth periodic,Local linear,0.0020527287878209445,0.0443821964401171,0.05066447769958594,0.003692353500018726
Smooth periodic,Nadaraya-Watson,0.0034055720672385294,0.057570366464197616,0.09231940351060369,0.0002203459999327606
Smooth periodic,Smoothing spline,0.005361092234120204,0.07312015007352426,0.09798373940638103,7.015600002887368e-05
Smooth periodic,Polynomial,0.005361092234120208,0.07312015007352429,0.0979837394063809,0.0006723239999155339
Smooth periodic,Linear,0.2024008478414419,0.4498822544743687,0.6232859064287068,0.0003828530000009778
