Noise,Method,RMSE,Median absolute error
Contaminated,B-spline,0.057511083858271174,0.03645401327431814
Contaminated,Local linear,0.06294262888815604,0.04278135220430803
Contaminated,Nadaraya-Watson,0.07365607394348159,0.04382242596107199
Contaminated,Smoothing spline,0.07961122268761543,0.056293791259116724
Heavy-tailed,B-spline,0.036647769849763805,0.024552964624706096
Heavy-tailed,Local linear,0.041822877011533234,0.028654187279022452
Heavy-tailed,Nadaraya-Watson,0.058821669872877264,0.03251167714347998
Heavy-tailed,Smoothing spline,0.0729433534684521,0.05772796445850775
Heteroscedastic,B-spline,0.06424645648989388,0.034664402786089274
Heteroscedastic,Local linear,0.06631674364780145,0.04088947158237854
Heteroscedastic,Nadaraya-Watson,0.07578461307446306,0.04349052563111732
Heteroscedastic,Smoothing spline,0.08407144792296262,0.05748365036288857
Normal,B-spline,0.03782575710460605,0.025324355482564665
Normal,Local linear,0.04438469898971223,0.030979775919526543
Normal,Nadaraya-Watson,0.06087490195397647,0.03418773227409067
Normal,Smoothing spline,0.07308672955648186,0.05762323584052335
